call_id,model_used,call_reason,user_sentiment,failure_reasons,failure_description,user_questions,call_tags
17a7ec7b-16ea-48f2-8c86-a6feacadfd62,gpt-4.1-mini,book_appointment,confus,operation_non_trouvee,opération non trouvée lors de la vérification de l'intervention,L'appelant souhaite obtenir un rendez-vous avec un anesthésiste en physiothérapie.,intitule_chirurgie; appel_transfere
2044eb7e-e0e6-4ac8-9cda-a8352fc2fc27,gpt-4.1-mini,other_requests,neutre,,,L'appelant souhaite obtenir une confirmation ou une clarification concernant un problème lié à une adresse mail.,appel_transfere
21226cab-7ff4-482f-8698-39519a73f154,gpt-4.1-mini,book_appointment,neutre,,,"L'appelant souhaite obtenir une clarification sur la nature exacte de son opération, exprimée par la question 'Comment ?' en réponse à la confirmation de l'agent concernant la pose d'une sonde JJ.",nom_du_chirurgien; date_de_chirurgie; intitule_chirurgie; anticoagulants; disponibilites_enoncees; patient_non_trouve; nom; prenom; date_de_naissance; rdv_confirme; appel_transfere
24b4b9ea-ef6f-4d70-9e40-8e42577b5bbc,gpt-4.1-mini,cancel_appointment,frustre,,,,date_de_naissance; patient_non_trouve; appel_transfere
3037d2bd-0522-4420-a73c-9d4a3f0a9474,gpt-4.1-mini,book_appointment,neutre,pas_de_disponibilites,,L'appelant souhaite obtenir une confirmation que le chirurgien est bien Marcel Happi-Nono.,intitule_chirurgie; nom_du_chirurgien; date_de_chirurgie; anticoagulants; disponibilites_enoncees; appel_transfere
3cd3dbb4-4267-4bc1-bd3c-9aedbc49a3cc,gpt-4.1-mini,book_appointment,confus,operation_non_trouvee,,,intitule_chirurgie; appel_transfere
4289531f-7cb6-4c33-b827-bcc33e4ad871,gpt-4.1-mini,get_appointment_info,neutre,,,L'appelant souhaite savoir s'il faut prendre deux rendez-vous distincts pour deux opérations ou si un seul rendez-vous suffit lorsque les opérations sont liées.,appel_transfere
5f7c96bd-4ca4-46ba-b64c-df6c92cc114b,gpt-4.1-mini,book_appointment,neutre,,,"L'appelant souhaite obtenir une confirmation ou une clarification sur la nature exacte de l'opération qu'il doit subir, en particulier pour savoir si c'est une fibroscopie gastrique ou une fibroscopie bronchique.",nom_du_chirurgien; intitule_chirurgie; appel_transfere
60f3f49b-35f3-4d9b-a1cc-d6c66726b20a,gpt-4.1-mini,book_appointment,neutre,,,,intitule_chirurgie; nom_du_chirurgien; date_de_chirurgie; anticoagulants; appel_transfere
762c9f32-981e-4546-987c-40bebd0aacb0,gpt-4.1-mini,book_appointment,confus,,,"L'appelant souhaite obtenir une clarification sur la nature de l'opération réalisée (""C'est quoi l'opération qu'il fait ?"").",intitule_chirurgie; nom_du_chirurgien; appel_transfere
